praf,pmek,plcg,PIP2,PIP3,p44.42,pakts473,PKA,PKC,P38,pjnk,INT
1,1,1,1,1,1,2,2,1,1,2,9
3,2,1,1,1,2,2,1,3,2,3,9
2,1,3,2,2,2,1,1,1,1,2,9
2,1,1,1,1,1,1,1,1,1,1,9
3,3,1,1,1,2,2,1,1,1,1,9
3,3,1,1,1,2,2,1,1,1,1,9
1,1,1,1,1,2,2,1,1,1,1,9
1,1,1,1,1,2,2,1,1,1,1,9
1,1,1,1,1,3,3,3,1,1,1,9
3,3,2,2,2,2,2,2,1,2,1,9
1,1,2,3,2,3,3,3,1,1,1,9
2,1,1,1,1,1,1,2,2,1,1,9
2,1,1,1,1,3,3,3,1,1,1,9
2,2,1,1,1,2,2,1,1,1,1,9
2,1,1,1,1,2,2,2,1,1,1,9
2,1,3,3,3,1,1,1,1,1,3,9
1,1,1,1,1,2,2,3,1,1,1,9
2,2,1,3,2,3,3,2,1,1,1,9
2,1,2,3,2,2,1,1,1,1,1,9
1,2,1,2,2,1,1,2,2,2,3,9
1,1,1,1,1,1,1,1,1,1,1,9
